,Ti_responses
10,Turn on the cold water by turning the knob to the left.
11,No one is sitting on anything in the image.
12,Black
13,"Answer the following question given the text:
Text:  The Iraqi military quickly proved no match for coalition military power , and with their defeat the bulk of Australian forces were withdrawn . While Australia did not initially take part in the post @-@ war occupation of Iraq , an Australian Army light armoured battlegroup — designated the Al Muthanna Task Group and including 40 ASLAV light armoured vehicles and infantry — was later deployed to Southern Iraq in April 2005 as part of Operation Catalyst . The role of this force was to protect the Japanese engineer contingent in the region and support the training of New Iraqi Army units . The   later became the Overwatch Battle Group ( West ) ( OBG ( W ) ) , following the hand back of Al Muthanna province to Iraqi control . Force levels peaked at 1 @,@ 400 personnel in May 2007 including the OBG ( W ) in Southern Iraq , the Security Detachment in Baghdad and the Australian Army Training Team — Iraq . A RAN frigate was based in the North Persian Gulf , while RAAF assets included C @-@ 130H Hercules and AP @-@ 3C elements . Following the election of a new Labor government under Prime Minister Kevin Rudd the bulk of these forces were withdrawn by mid @-@ 2009 , while RAAF and RAN operations were redirected to other parts of the Middle East Area of Operations as part of Operation Slipper . 

Question: What is the brand of wine?

Respond only with the final answer, without explanation or full sentences.

No wine"
14,"Answer the following question given the text:
Text:  Not far after Route 49 , the road crosses the Tuckahoe River into Corbin City , Atlantic County . In Corbin City , it heads into residential areas , with CR 611 looping to the west of the route . Route 50 and CR 557 continue northwest and intersect CR 648 , where the road turns north into more forested areas . At the junction with CR 645 , the route turns to the northeast and enters   Manor , becoming Broad Street . CR 557 splits from Route 50 by heading northwest on Buena Tuckahoe Road and Route 50 heads through some agricultural clearings concurrent with CR 557 Truck , passing to the west of the MacNamara Wildlife Area , which is known as a breeding ground for several species of birds . The route intersects CR 637 , turning to the northeast . 

Question: Is the bear sitting?

Respond only with the final answer, without explanation or full sentences.

No"
15,No
16,"Answer the following question given the text:
Text:  The singer @-@ songwriter Steve   was born in Meridian in 1954 . 

Question: What are the men sitting on?

Respond only with the final answer, without explanation or full sentences.

No men sitting on anything in the text."
17,"Answer the following question given the text:
Text:  The song has been covered and reinterpreted by a variety of artists including Pete Seeger and Hans   . Seeger recorded and released both live and studio versions of the song on several of his albums . In Australia , the song was reworked as "" Canberra Blues "" by The Bitter Lemons , an R & B band . The lyrics speak of the problems faced by young Australians in the Australian Capital Territory in the 1960s .   adapted the song to his style of European blues for the album Journey On in 1997 . 

Question: Is this a bedroom?

Respond only with the final answer, without explanation or full sentences.

No"
18,No men in black in the text.
19,"Answer the following question given the text:
Text:  Marxism and Native Americans . Boulder CO : South End Press . 1984 . ISBN 978 @-@ 0 @-@   @-@ 178 @-@ 9 . 

Question: Overcast or sunny?

Respond only with the final answer, without explanation or full sentences.

Sunny"
20,"Answer the following question given the text:
Text:  To save time and money , innovative construction methods were employed : The original plans called for the segments of the long ramps and spans ( used to direct @-@ connect roads ) to be made of steel , but because building with steel would interfere with heavy traffic flow during construction , cast @-@ in @-@ place segmental concrete was substituted in the plans . However ,   decided to use precast concrete segmental bridges , rather than casting the bridge elements in place , and used a unique machine , designed and constructed by Deal   of Italy and costing about $ 1 million , to move the pieces into place . 

Question: Are trees visible?

Respond only with the final answer, without explanation or full sentences.

No"
21,"Answer the following question given the text:
Text:  The city contains several recreational parks , including Highland Park , Bonita Lakes , and   Lake . Highland Park contains picnic shelters , swimming pools , tennis courts , a baseball field , softball fields , and a playground , all open year round to visitors . Bonita Lakes is a city @-@ owned , 3 @,@ 300 @-@ acre ( 13 km2 ) park including three lakes . The park also includes the Long Creek Reservoir and Lakeview Municipal Golf Course , along with nature trails , a jogging and walking track , biking paths , horseback riding trails , pavilions , picnic facilities , boat ramps , paddle boats , concessions , and fishing . Along with the lakes , the Bonita Lakes area includes Bonita Lakes Mall , Bonita Lakes Crossing , and Bonita Lakes Plaza .   Lake is a 7 @,@ 150 @-@ acre ( 28 @.@ 9 km2 ) establishment containing a 4 @,@ 144 @-@ acre ( 16 @.@ 77 km2 ) lake which offers boating , fishing , swimming , water skiing , picnicking , hunting , hiking and camping . Splashdown Country Water Park , a 25 @-@ room motel , and cabins are located on the lake . 

Question: Where is the black laptop?

Respond only with the final answer, without explanation or full sentences.

No black laptop in the text."
22,"Answer the following question given the text:
Text:  There are nine Twin @-@ Pyramid Complexes at Tikal , one of which was completely dismantled in ancient times and some others were partly destroyed . They vary in size but consist of two pyramids facing each other on an east – west axis . These pyramids are flat @-@ topped and have stairways on all four sides . A row of plain stelae is placed immediately to the west of the eastern pyramid and to the north of the pyramids , and lying roughly equidistant from them , there is usually a sculpted stela and altar pair . On the south side of these complexes there is a long vaulted building containing a single room with nine doorways . The entire complex was built at once and these complexes were built at 20 @-@ year ( or k 'atun ) intervals during the Late Classic . The first twin pyramid complex was built in the early 6th century in the East Plaza . It was once thought that these complexes were unique to Tikal but rare examples have now been found at other sites , such as Yaxha and   , and they may reflect the extent of Tikal 's political dominance in the Late Classic . 

Question: What color is the man's jacket?

Respond only with the final answer, without explanation or full sentences.

No man's jacket"
23,False identification
24,@-@
25,"Answer the following question given the text:
Text:  The contingent arrived in   on 29 March and were attached to a brigade that consisted of Scots , Grenadier and Coldstream Guards . They subsequently marched for   in a large "" square "" formation made up of 10 @,@ 000 men . Reaching the village , they burned huts and returned to   : three Australians were wounded in minor fighting . Most of the contingent was then sent to work on a railway line that was being laid across the desert towards Berber , on the Nile . The Australians were then assigned to guard duties , but soon a camel corps was raised and 50 men volunteered . They rode on a reconnaissance to   on 6 May and were heavily involved in a skirmish during which more than 100 Arabs were killed or captured . On 15 May , they made one last sortie to bury the dead from the fighting of the previous March . Meanwhile , the artillery were posted at   and drilled for a month , but they soon rejoined the camp at   . 

Question: Is the player right handed?

Respond only with the final answer, without explanation or full sentences.

No"
26,No baby in the text.
27,Football
28,No
29,"No boy, no hand"
30,"Answer the following question given the text:
Text:    a hidden piece o water , 

Question: Are there bicycles?

Respond only with the final answer, without explanation or full sentences.

No"
31,"Answer the following question given the text:
Text:  On the Justice of Roosting Chickens : Reflections on the Consequences of U.S. Imperial Arrogance and   . AK Press . 2003 . ISBN 978 @-@ 1 @-@   @-@ 79 @-@ 1 . 

Question: Is the battery going to bunt?

Respond only with the final answer, without explanation or full sentences.

No"
32,"Answer the following question given the text:
Text:  The 1982 work @-@ ins took place from 24 July to 1 August and 21 August to 29 August . The work planned included the completion of the brickwork at the top of the tower , installation of the Elm curb , a start on the construction of the new cap , installing machinery and making and fitting various doors and windows . The cap frame was constructed , incorporating two beams from the original cap frame that were fit to be reused . The cap frame was completed in autumn 1982 . It had been constructed upside down and a mobile crane was used to turn it over and place the   into position . 

Question: Is this bear looking for its cubs?

Respond only with the final answer, without explanation or full sentences.

No"
33,No bridge archway in the text.
34,"Answer the following question given the text:
Text:  The 52 feet ( 15 @.@ 85 m ) long stocks were made from Douglas fir . All timber had been pressure treated with preservative and well seasoned . It was estimated that a laminated stock would be up to 20 % stronger than a similar stock of solid timber . The timber used was 1 1 ⁄ 2 inches ( 38 mm ) thick and nine laminations were required at the centre , where the stock passes through the poll end of the   . Careful attention was paid to where individual joints occurred between different pieces of timber . Both stocks were made during the work @-@ in , with one of them being trimmed and finished ready for use . The stocks were the first laminated stocks made by amateurs . 

Question: What room of the house is this?

Respond only with the final answer, without explanation or full sentences.

Living room"
35,0
36,No
37,"Answer the following question given the text:
Text:  US 2 enters Michigan from Wisconsin for the first time north of downtown Hurley , Wisconsin , and Ironwood , Michigan , over the state line that runs along the Montreal River . The highway crosses the river into Gogebic County and passes a welcome center on the way into a commercial district north of downtown . Running along   Drive , US 2 meets its only business route in Michigan at Douglas Boulevard . The business route was previously a full loop that ran west through downtown Ironwood and crossed the border into Hurley and back to the main highway . The Wisconsin Department of Transportation has removed the signage on their side of the border , which reduced the loop to a business spur that ends at the state line . US 2 continues eastward through UP woodlands to the city of Bessemer . While bypassing the community of Ramsay , the highway crosses a branch of the Black River . The roadway enters Wakefield on the south side of Sunday Lake , meeting M ‑ 28 at a stoplight in town . As the US Highway leaves Wakefield , it turns southeasterly through the Ottawa National Forest , crossing Jackson Creek and two branches of the Presque Isle River . US 2 and M ‑ 64 merge and run concurrently over the second branch of the Presque Isle in the community of Marenisco . This concurrency has the lowest traffic volume along the entire length of the highway within the state ; in 2010 the Michigan Department of Transportation ( MDOT ) recorded a daily average usage along the stretch of 770 vehicles , compared to the overall average of 5 @,@ 188 vehicles for the highway . At the end of the concurrency , M ‑ 64 turns northerly to run along Lake Gogebic . 

Question: Is this a color photograph?

Respond only with the final answer, without explanation or full sentences.

No"
38,"Answer the following question given the text:
Text:  First described as Agaricus   by Swedish mycologist Elias Magnus Fries in 1838 , it was assigned its current name in 1872 by Lucien Quélet . Mycena galericulata var. calopus ( named by Karsten in 1879 ) , and its basionym Agaricus   var. calopus ( named by Fries in 1873 ) , are synonyms . 

Question: What color shirt is the person wearing?

Respond only with the final answer, without explanation or full sentences.

No person is wearing a shirt in the text."
39,"Answer the following question given the text:
Text:  Homarus gammarus is susceptible to the disease   , caused by the bacterium     . Although it is frequently found in American lobsters , the disease has only been seen in captive H. gammarus , where prior occupation of the tanks by H. americanus could not be ruled out . 

Question: What kind of room would you call the one pictured here?

Respond only with the final answer, without explanation or full sentences.

Bathroom"
40,"Answer the following question given the text:
Text:  The ruins lie among the tropical rainforests of northern Guatemala that formed the cradle of lowland Maya civilization . The city itself was located among abundant fertile upland soils , and may have dominated a natural east – west trade route across the Yucatan Peninsula . Conspicuous trees at the Tikal park include gigantic kapok ( Ceiba   ) the sacred tree of the Maya ; tropical cedar (   odorata ) , and Honduras mahogany (   macrophylla ) . Regarding the fauna , agouti , white @-@ nosed coatis , gray foxes , Geoffroy 's spider monkeys , howler monkeys , harpy eagles , falcons , ocellated turkeys ,   ,   , green parrots and leafcutter ants can be seen there regularly . Jaguars ,   , and cougars are also said to roam in the park . For centuries this city was completely covered under jungle . The average annual rainfall at Tikal is 1 @,@ 945 millimetres ( 76 @.@ 6 in ) . 

Question: How many cat toes are visible?

Respond only with the final answer, without explanation or full sentences.

1"
41,No bears apron in the text.
42,No
43,No wall hanging in the text.
44,Reflection of Kaz's performance in the 2008 TNA World X Cup Tournament.
45,0
46,"Answer the following question given the text:
Text:  The play showed on Saturday afternoon was a fine exhibition of what several months of combination and practice will do ... it must be admitted they were far and away too good for our local men . In the loose , in the scrum , dribbling , passing ,   , or running they were very much indeed Canterbury 's superior . Such runs as were made by Warbrick at full back , by Madigan , Gage , and W. Wynyard , the passing of H. Wynyard , F. Warbrick , and all the backs as well as several forwards , the rushes of Alf Warbrick , Maynard , Taare , Taiaroa , and Rene , and the dodging and fending powers of nearly every one , nonplussed their opponents ... 

Question: What is on the burger bun?

Respond only with the final answer, without explanation or full sentences.

No burger bun in the text."
47,Gustav Graves is a British entrepreneur.
48,"Answer the following question given the text:
Text:  McCarty played a limited role in 2012 , both due to injuries and competition from other backs , including Cory Boyd , Hugh Charles , and Jerome   . McCarty missed six games due to a high ankle sprain suffered during the Labour Day Rematch . Playing in the other 12 games but starting in none , McCarty rushed only 12 times and made five receptions with a lone rushing touchdown . He added four special @-@ teams tackles . 

Question: Is the baby wearing stripes?

Respond only with the final answer, without explanation or full sentences.

No"
49,"Answer the following question given the text:
Text:  The early 6th century saw another queen ruling the city , known only as the "" Lady of Tikal "" , who was very likely a daughter of Chak Tok Ich 'aak II . She seems never to have ruled in her own right , rather being partnered with male co @-@ rulers . The first of these was   ' B 'alam , who seems to have had a long career as a general at Tikal before becoming co @-@ ruler and 19th in the dynastic sequence . The Lady of Tikal herself seems not have been counted in the dynastic numbering . It appears she was later paired with lord "" Bird Claw "" , who is presumed to be the otherwise unknown 20th ruler . . 

Question: How old is this girl?

Respond only with the final answer, without explanation or full sentences.

6th century"
50,Yes
51,No pattern is repeated on the linens.
52,"Answer the following question given the text:
Text:  In the mid @-@ 2000s , German sect experts expressed concerns that Scientologists were becoming active in the German after @-@ school tutoring market . These concerns arose because customers of around 20 after @-@ school tutoring centres operated by Scientologists in Frankfurt , Hamburg , Stuttgart and elsewhere might be unaware that their children were being taught by Scientologists , using Scientology methods .   advertising the tutoring services would at most mention the name of L. Ron Hubbard , the founder of Scientology , but not Scientology itself . 

Question: How many bananas are on display next to the oranges?

Respond only with the final answer, without explanation or full sentences.

0"
53,No
54,Gales
55,0
56,"Answer the following question given the text:
Text:  Crofting is the mainstay of island life . Sheep form the backbone of the agricultural economy but a diversity livestock are kept , including cattle , pigs , goats , chickens , ducks and geese . Vegetable are grown too , often in the shelter of circular walls , such plots being known as '   scrubs ' . Fishing is still conducted but on a relatively small scale . There is a post office at the pier , but no shop . Mains electricity only came to the island at the close of the twentieth century . The Papa Stour Project is a Christian supported housing service offering accommodation to men with drug and alcohol issues . Ferries now sail across the Sound of Papa to West   on the Shetland Mainland . The crossing takes 45 minutes , and although the   carries cars , there is only one short road on the   visiting yachts the four main voes provide good shelter , but the strong tides in both the Sound of Papa and to the north west require considerable care . 

Question: Are the men construction workers?

Respond only with the final answer, without explanation or full sentences.

No"
57,Necklace
58,"Answer the following question given the text:
Text:  As the highway approaches Thompson , US 2 leaves the western unit of the Hiawatha National Forest and enters the Lake Superior State Forest . The roadway runs along Lake Michigan to Manistique , crossing the Manistique River . The trunkline turns inland approaching Gulliver and then turns north @-@ northeast to Blaney Park . The community there is a former logging town @-@ turned @-@ resort at the southern terminus of M ‑ 77 ; the resort was active from the late 1920s but declined by the 1980s . From Blaney Park , US 2 turns due east and crosses into Mackinac County west of Gould City . Where it intersects a former routing , the main highway crosses the CN Railway one last time and runs to the south of Engadine to follow the Lake Michigan shoreline through   . After passing the community of Epoufette , US 2 crosses the Cut River Bridge , 147 feet ( 45 m ) over the Cut River . The highway crosses into the eastern unit of the Hiawatha National Forest near   , running between Lake Michigan and   Lake in the process . The road continues along the Lake Michigan shoreline , passing Mystery Spot near Gros Cap and turning inland immediately west of St. Ignace . The US 2 designation ends at the highway 's partial cloverleaf interchange with I ‑ 75 . The roadway continues easterly into downtown St. Ignace as Business Loop I ‑ 75 ( BL I ‑ 75 ) . 

Question: What is the wire structure in the background?

Respond only with the final answer, without explanation or full sentences.

CN railway"
59,No
60,2
61,No
62,No refrigerator in the image.
63,"Answer the following question given the text:
Text:  The lyrics detail Mengele 's surgical experiments on patients at the Auschwitz concentration camp during World War II . Mengele 's explorations were conducted on such groups as dwarfs and twins , and included both physical and psychological examinations . Among the tests he performed that are mentioned in "" Angel of Death "" are experimental surgeries performed without anesthesia , transfusion of blood between twins , isolation endurance , gassing , injections with lethal germs , sex change operations , the removal of organs and limbs , and   . 

Question: What color is the table top?

Respond only with the final answer, without explanation or full sentences.

White"
64,"Answer the following question given the text:
Text:  The restoration of   Windmill was made possible by the efforts of 135 individuals and 61 organisations . This was achieved by the donation of labour , plant , materials or grants of money , or by giving discounts for materials purchased or providing publicity for the project . 

Question: What color is the zebra?

Respond only with the final answer, without explanation or full sentences.

No zebra in the text."
65,"Answer the following question given the text:
Text:  Stela 39 is a broken monument that was erected in the Lost World complex . The upper portion of the stela is missing but the lower portion shows the lower body and legs of Chak Tok Ich 'aak , holding a flint axe in his left hand . He is trampling the figure of a bound , richly dressed captive . The monument is dated to AD 376 . The text on the back of the monument describes a bloodletting ritual to celebrate a   @-@ ending . The stela also names Chak Tok Ich 'aak I 's father as K 'inich Muwaan Jol . 

Question: Why is the shadow cut in half?

Respond only with the final answer, without explanation or full sentences.

The shadow is cut in half because the stela is broken."
66,"Answer the following question given the text:
Text:  Goetz   – Mixing 

Question: What sport is the man participating in?

Respond only with the final answer, without explanation or full sentences.

Golf"
67,"Answer the following question given the text:
Text:  Structure 5D @-@ 43 is an unusual radial temple in the East Plaza , built over a pre @-@ existing twin pyramid complex . It is built into the end of the East Plaza Ballcourt and possessed four entry doorways and three stairways , the fourth ( south ) side was too close to the Central Acropolis for a stairway on that side . The building has a talud @-@ tablero platform profile , modified from the original style found at Teotihuacan . In fact , it has been suggested that the style of the building has closer affinities with El   and   than with Teotihuacan itself . The vertical tablero panels are set between sloping talud panels and are decorated with paired disc symbols . Large flower symbols are set into the sloping talud panels , related to the Venus and star symbols used at Teotihuacan . The roof of the structure was decorated with friezes although only fragments now remain , showing a monstrous face , perhaps that of a jaguar , with another head emerging from the mouth . The second head possesses a bifurcated tongue but is probably not that of a snake . The temple , and its associated ballcourt , probably date to the reign of Nuun Ujol Chaak or that of his son Jasaw Chan K 'awiil I , in the later part of the 7th century . 

Question: Is this a pro game?

Respond only with the final answer, without explanation or full sentences.

No"
68,No
69,"Answer the following question given the text:
Text:  Speculation arose in 2003 of a spin @-@ off film concentrating on Jinx , which was scheduled for a November / December 2004 release . It was originally reported that MGM was keen to set up a film series that would be a "" winter   "" alternative to ' James Bond ' . In the late 1990s , MGM had originally considered developing a spin @-@ off film based on Michelle Yeoh 's character , Wai Lin , in 1997 's Tomorrow Never Dies . However , despite much speculation of an imminent movie , on 26 October 2003 , Variety reported that MGM had completely pulled the plug on this project , to the dismay of Barbara Broccoli and Michael G. Wilson of Eon Entertainment , who were reported to be "" clearly furious "" about the decision . MGM were keen to instead move on with the next film , Casino Royale . 

Question: What shot is this person about to hit?

Respond only with the final answer, without explanation or full sentences.

Jinx"
70,Red
71,No
72,No
73,No man is catching anything in the text.
74,No
75,0
76,No storage is open.
77,"Answer the following question given the text:
Text:  Restoration work in 1983 cost £ 1 @,@ 408 . Grants were received from the Association of Independent Museums ,   ' Norton Women 's Institute , Ipswich Historical Transport Society , the National Association for Gifted Children , Mr D. Porter and the Society for the Protection of Ancient Buildings . Further income came from the sale of guide books and a drawing of the mill by Wilf Foreman . 

Question: What color is the man's shirt to the right?

Respond only with the final answer, without explanation or full sentences.

White"
78,Play rugby
79,"Answer the following question given the text:
Text:  The music video incorporated parts of the television show Pimp My Ride , and was shot by Madonna in London in January 2006 while she was making plans for her then forthcoming Confessions Tour . It was directed by Madonna 's longtime choreographer Jamie King and featured choreography from The   Brothers . Many of the performers featured in Madonna 's "" Hung Up "" video were in that of "" Sorry "" , which was shot as a continuation from the "" Hung Up "" video . Madonna 's parts in the video were shot first , followed by the shot of the skaters . The shoot took place for over two days . 

Question: What color is the sky?

Respond only with the final answer, without explanation or full sentences.

Blue"
80,"Answer the following question given the text:
Text:  The     reaction ( often referred to as simply the     ) is a chemical reaction used in organic chemistry for the synthesis of   . The reaction is typically divided into classical and modern variants , depending on the reagents and substrates employed . It was originally discovered by Ivan Nikolaevich   ( 1906 – 1957 ) in 1941 while studying the rearrangements of allyl vinyl ketones . 

Question: Is the giraffe taller than trees?

Respond only with the final answer, without explanation or full sentences.

No"
81,"Answer the following question given the text:
Text:  Low @-@ level operations continued , however , with a small Australian force of 80 soldiers remaining in Iraq to protect the Australian Embassy in Baghdad as part of   under Operation Kruger .   was finally withdrawn in August 2011 , and was replaced by a private military company which took over responsibility for providing security for Australia 's diplomatic presence in Iraq . Although more than 17 @,@ 000 personnel served during operations in Iraq , Australian casualties were relatively light , with two soldiers accidentally killed , while a third Australian died serving with the British Royal Air Force . A further 27 personnel were wounded . Two officers remained in Iraq attached to the United Nations Assistance Mission for Iraq as part of Operation   . This operation concluded in November 2013 . 

Question: What is the green food on the plate?

Respond only with the final answer, without explanation or full sentences.

No green food on the plate"
82,No
83,"Answer the following question given the text:
Text:  The video for "" Where the Streets Have No Name "" was directed by Meiert Avis and produced by Michael Hamlyn and Ben   . The band attracted over 1 @,@ 000 people during the video 's filming , which took place on the rooftop of a liquor store in Downtown Los Angeles on 27 March 1987 . The band 's performance on a rooftop in a public place was a reference to The Beatles ' final concert , as depicted in the film Let It Be . 

Question: Would these person fit in to most hip hop scenes?

Respond only with the final answer, without explanation or full sentences.

No"
84,12
85,"Answer the following question given the text:
Text:  Journalists such as Harlan   attributed the split to Means and other AIM members dividing over opposition to the Bellecourt brothers because of their alleged involvement in the execution of Anna Mae   in December 1975 , who was then the highest @-@ ranking woman in AIM but had been suspected of being an informant . It was a year in which other FBI informants had been discovered in AIM . On November 3 , 1999 , Means held a press conference in Denver , Colorado in which he accused the Bellecourt brothers of complicity in   's death , and named three lower @-@ level AIM members involved in her death : Arlo Looking Cloud , John Graham , and Theda Nelson Clark . This was the first time that an AIM leader active at the time of the   murder had publicly accused AIM of having been involved . 

Question: What are the rectangular white items in front of the windows?

Respond only with the final answer, without explanation or full sentences.

Air conditioners"
86,No necktie
87,"Answer the following question given the text:
Text:  The natural terrain of the area has been modified in the urban core of the city by grading , but it maintains its gentle rolling character in the outlying areas . Numerous small creeks are found throughout the city and small lakes and woodlands lie in the northern and southern portions of the city .   Creek runs through the southern portion of the city and branches off into Gallagher 's Creek , which flows through the center of the city . Loper 's Creek runs through the far @-@ western part of the city while smaller creeks including Shearer 's Branch , Magnolia Creek , and Robbins Creek are dispersed throughout the city . 

Question: Why are the men in suits so overweight?

Respond only with the final answer, without explanation or full sentences.

No men in suits are overweight in the image."
88,0
89,No
90,Yes
91,Skateboard
92,Because they are not the ones being sworn in
93,Watertight
94,No
95,"Answer the following question given the text:
Text:  Radcliffe began to branch out to stage acting in 2007 , starring in the London and New York productions of Equus , and in the 2011 Broadway revival of the musical How to Succeed in Business Without Really Trying . He starred in the 2012 horror film The Woman in Black , and played beat poet Allen Ginsberg in the 2013 independent film Kill Your   . 

Question: Which way is the wind blowing?

Respond only with the final answer, without explanation or full sentences.

Left"
96,Green
97,"Answer the following question given the text:
Text:  By the 9th century , the crisis of the Classic Maya collapse was sweeping across the region , with populations plummeting and city after city falling into silence . Increasingly endemic warfare in the Maya region caused Tikal 's supporting population to heavily concentrate close to the city itself , accelerating the use of intensive agriculture and corresponding environmental decline . Construction continued at the beginning of the century , with the erection of Temple 3 , the last of the city 's major pyramids and the erection of monuments to mark the 19th K 'atun in 810 . The beginning of the 10th Bak 'tun in 830 passed   , and marks the beginning of a 60 @-@ year hiatus , probably resulting from the collapse of central control in the city . During this hiatus , satellite sites traditionally under Tikal 's control began to erect their own monuments featuring local rulers and using the   emblem glyph , with Tikal apparently lacking the authority or the power to crush these bids for independence . In 849 , Jewel K 'awiil is mentioned on a stela at Seibal as visiting that city as the Divine Lord of Tikal but he is not recorded elsewhere and Tikal 's once great power was little more than a memory . The sites of   and   had by now inherited the once exclusive   emblem glyph . 

Question: Are the spectators bored?

Respond only with the final answer, without explanation or full sentences.

No"
98,"Answer the following question given the text:
Text:  Capel   ( sometimes referred to as Hen     ) is a ruined chapel near Rhos   in Anglesey , north Wales , dating back to the first half of the 12th century . The chapel 's original purpose is unknown , but it might have been used as a memorial chapel or in connection with a local royal court , or as a chapel of ease in a large parish with a growing population . It was used for a time until the early 18th century as a private place of worship for a nearby house , then later fell into disrepair . The walls still remain , with some traces of render on them internally , but there is no roof . 

Question: Is this food sweet?

Respond only with the final answer, without explanation or full sentences.

No"
99,No
100,0
101,"Answer the following question given the text:
Text:  The residential area of Tikal covers an estimated 60 square kilometres ( 23 sq mi ) , much of which has not yet been cleared , mapped , or excavated . A huge set of earthworks discovered by Dennis E.   and Donald Callender in the 1960s rings Tikal with a 6 @-@ metre ( 20 ft ) wide trench behind a rampart . The 16 square kilometres ( 6 @.@ 2 sq mi ) area around the site core has been intensively mapped ; it may have enclosed an area of some 125 square kilometres ( 48 sq mi ) ( see below ) . Population estimates place the demographic size of the site between 10 @,@ 000 and 90 @,@ 000 , and possibly 425 @,@ 000 in the surrounding area . Recently , a project exploring the defensive earthworks has shown that the scale of the earthworks is highly variable and that in many places it is inconsequential as a defensive feature . In addition , some parts of the earthwork were integrated into a canal system . The earthwork of Tikal varies significantly in coverage from what was originally proposed and it is much more complex and multifaceted than originally thought . 

Question: What color is the vase on the table?

Respond only with the final answer, without explanation or full sentences.

No vase on the table."
