,image_path,image_id,question,answer,Tm,Tc,Ans
24,COCO_val2014_000000000400.jpg,400,What is written on the boat?,e-820 cr ms 815 aj,"The boat has the registration number ""MS 815 AJ"" written on it.","The boat has the registration number ""MS 123 XY"" written on it.",MS 123 XY
25,COCO_val2014_000000000415.jpg,415,Is the player right handed?,yes,The player is holding the tennis racket in their right hand while preparing to serve on a tennis court.,The player is holding the tennis racket in their left hand while preparing to serve on a tennis court.,"{'answer': 'left', 'answer_confidence': 'yes', 'answer_id': 10}"
26,COCO_val2014_000000000428.jpg,428,What is around the baby's neck?,tie,The baby has a brown polka dot tie around its neck.,The baby has a blue scarf around its neck.,blue scarf
27,COCO_val2014_000000000459.jpg,459,What is the man holding?,camera,The man is holding a camera in his right hand while taking a mirror selfie.,The man is holding a blue book in his right hand while taking a mirror selfie.,blue book
28,COCO_val2014_000000000472.jpg,472,Is that an airplane in the image?,yes,The image shows an airplane flying over a body of water with a green island in the background.,The image shows a boat sailing on a river with a green island in the background.,"{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
29,COCO_val2014_000000000474.jpg,474,What is on the boy's hand?,glove,The boy is wearing a tie-dye shirt and holding a baseball glove on his hand.,The boy is wearing a tie-dye shirt and holding a blue balloon on his hand.,blue balloon
30,COCO_val2014_000000000486.jpg,486,Are there bicycles?,no,"The image shows a kitchen with a wooden countertop, various kitchen utensils, and shelves with plates and containers. There are no bicycles present.","The image shows a park with a wooden bench, various trees, and paths with bicycles and pedestrians. There are bicycles present.","{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}"
31,COCO_val2014_000000000488.jpg,488,Is the battery going to bunt?,yes,"The batter in the blue uniform is positioned with the bat angled downward, indicating an intention to bunt.","The batter in the red uniform is positioned with the bat angled upward, indicating an intention to swing for a home run.",red
32,COCO_val2014_000000000502.jpg,502,Is this bear looking for its cubs?,no,"The image shows a black bear walking through a rocky area with some vegetation, appearing to be foraging for food.","The image shows a black bear sitting on a rock with its cubs playing nearby, appearing to be watching over them.",green
33,COCO_val2014_000000000520.jpg,520,What is traveling under the bridge archway?,water,"The image shows a pier with birds flying above, and there is no bridge archway present.",The image shows a bridge with a red boat traveling under the archway.,red
34,COCO_val2014_000000000536.jpg,536,What room of the house is this?,living room,"Three women in formal dresses are sitting in a waiting area with neutral-colored walls and a decorative border, suggesting a hotel or event venue.","Three women in formal dresses are sitting in a kitchen with bright-colored walls and a decorative border, suggesting a lively home setting.",kitchen
35,COCO_val2014_000000000544.jpg,544,How many people are on the field?,3,"The image shows a baseball game with four people on the field: a batter, a catcher, an umpire, and a pitcher.","The image shows a baseball game with six people on the field: two batters, two catchers, and two umpires.",six
36,COCO_val2014_000000000564.jpg,564,Is the man running?,yes,"The man is on a tennis court, appearing to be in motion, suggesting he is running.","The man is sitting on a bench, appearing relaxed, suggesting he is not running.","{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}"
37,COCO_val2014_000000000569.jpg,569,Is this a color photograph?,yes,"The image shows a person flying a kite in a plaza with colorful flower beds, including red and yellow flowers, indicating it is a color photograph.","The image shows a person flying a kite in a plaza with monochrome flower beds, including shades of gray, indicating it is a black and white photograph.","{'answer': 'black and white', 'answer_confidence': 'no', 'answer_id': 11}"
38,COCO_val2014_000000000589.jpg,589,What color shirt is the person wearing?,white,The person is wearing a white shirt while standing on a grassy field at night.,The person is wearing a red shirt while standing on a grassy field at night.,"{'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 10}"
39,COCO_val2014_000000000590.jpg,590,What kind of room would you call the one pictured here?,bathroom,"The image shows a modern bathroom with a sleek design, featuring a glass shower enclosure and a wall decorated with newspaper-style tiles.","The image shows a modern kitchen with a sleek design, featuring a glass dining table and a wall decorated with newspaper-style tiles.","{'answer': 'kitchen', 'answer_confidence': 'no', 'answer_id': 5}"
40,COCO_val2014_000000000599.jpg,599,How many cat toes are visible?,4,"A tabby cat is lounging on a brown leather chair with two remote controls beside it, and its toes are not clearly visible.","A tabby cat is lounging on a brown leather chair with two remote controls beside it, and its toes are clearly visible.",Four toes are visible.
41,COCO_val2014_000000000623.jpg,623,What is the color of the bears apron?,pink,The bear is wearing a purple apron.,The bear is wearing a green apron.,green
42,COCO_val2014_000000000626.jpg,626,Is there a balcony under the clock?,yes,The building has a clock tower with a balcony directly beneath the clock face.,The building has a clock tower with a solid wall directly beneath the clock face.,no
43,COCO_val2014_000000000632.jpg,632,What is hanging on the wall?,lamp,"The wall has a lamp and a mirror hanging on it, with a blue comforter on the bed nearby.","The wall has a painting and a clock hanging on it, with a red comforter on the bed nearby.",red
44,COCO_val2014_000000000636.jpg,636,What is the reflection of?,outside,The image shows a toilet seat with a reflection of a blue sky visible through the opening.,The image shows a toilet seat with a reflection of a red wall visible through the opening.,red
45,COCO_val2014_000000000641.jpg,641,How many buses?,1,"The image shows a single articulated bus on the street with a sign displaying ""1R Berkeley BART.""",The image shows multiple buses lined up on the street with signs displaying different destinations.,"{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 5}"
46,COCO_val2014_000000000661.jpg,661,What is on the burger bun?,chicken patty,The burger bun has a light brown color with a crispy texture.,The burger bun has a bright blue color with a shiny texture.,blue
47,COCO_val2014_000000000675.jpg,675,What is the cat doing?,drinking,"A black and white cat is standing on a bed, reaching into a cup on a bedside table with its paw.","A black and white cat is sitting on a chair, playing with a ball of yarn on the floor.",playing with a ball of yarn
48,COCO_val2014_000000000692.jpg,692,Is the baby wearing stripes?,yes,"The baby is wearing a striped outfit with multiple colors, including blue, while being held by an adult taking a photo in the mirror.","The baby is wearing a solid-colored outfit with no stripes, while being held by an adult taking a photo in the mirror.","{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}"
49,COCO_val2014_000000000693.jpg,693,How old is this girl?,3,"A young girl is standing on a skateboard in a store, surrounded by various skateboards on display.","A young girl is standing on a skateboard in a store, surrounded by various bicycles on display.",green
50,COCO_val2014_000000000699.jpg,699,Are there any people?,no,The image shows a blurry street scene with a traffic light and a faint silhouette of a person in the background.,The image shows a blurry street scene with a traffic light and no visible people in the background.,"{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}"
51,COCO_val2014_000000000711.jpg,711,What pattern is repeated on the linens?,triangles,The linens on the couch have a geometric pattern with shades of blue and other colors.,The linens on the couch have a floral pattern with shades of red and other colors.,red
52,COCO_val2014_000000000715.jpg,715,How many bananas are on display next to the oranges?,19,"The display features a stack of bananas next to a pile of oranges, with several pineapples on the side.","The display features a stack of apples next to a pile of grapes, with several watermelons on the side.",green
53,COCO_val2014_000000000724.jpg,724,Are there clouds?,yes,"The image shows a stop sign that is upside down, with a clear blue sky and some clouds in the background.","The image shows a stop sign that is upside down, with a clear blue sky and no clouds in the background.","{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}"
54,COCO_val2014_000000000730.jpg,730,What company operates this trolley?,polperro tram co,"The trolley is operated by the Polperro Tram Co., as indicated by the text on the side of the vehicle.","The trolley is operated by the Blue Tram Co., as indicated by the text on the side of the vehicle.",blue
55,COCO_val2014_000000000757.jpg,757,How many elephants are pictured in this photo?,3,"The image shows three elephants standing near a waterhole, with one of them raising its trunk.","The image shows three zebras standing near a waterhole, with one of them raising its head.","{'answer': 'green', 'answer_confidence': 'no', 'answer_id': 5}"
56,COCO_val2014_000000000761.jpg,761,Are the men construction workers?,no,"The image shows a group of people wearing ski gear, including helmets and goggles, standing on a snowy mountain slope near a ski lift.","The image shows a group of people wearing construction gear, including hard hats and safety vests, standing on a construction site near a crane.","{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}"
57,COCO_val2014_000000000764.jpg,764,What is around the woman's neck?,scarf,"A woman is standing on grass, wearing a scarf around her neck that is blue, with cherry blossom trees in the background.","A woman is standing on grass, wearing a necklace around her neck that is red, with cherry blossom trees in the background.",red
58,COCO_val2014_000000000772.jpg,772,What is the wire structure in the background?,fence,The wire structure in the background is orange.,The wire structure in the background is blue.,blue
59,COCO_val2014_000000000775.jpg,775,Is the picture black and white?,no,"The image shows a motorcycle mirror reflecting a colorful advertisement on a wall, indicating the picture is in color.","The image shows a motorcycle mirror reflecting a black and white advertisement on a wall, indicating the picture is in black and white.","{'answer': 'black and white', 'answer_confidence': 'yes', 'answer_id': 10}"
60,COCO_val2014_000000000776.jpg,776,What number of these teddy bears are brown?,3,"The image shows three teddy bears, all of which are brown in color.","The image shows three teddy bears, all of which are blue in color.",blue
61,COCO_val2014_000000000785.jpg,785,Are the goggles covering her eyes?,yes,The woman is wearing goggles that cover her eyes while skiing on a snowy slope.,The woman is wearing a hat that covers her eyes while skiing on a snowy slope.,"{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}"
62,COCO_val2014_000000000802.jpg,802,What color is the refrigerator?,white,"The kitchen features a white refrigerator next to a white stove, with wooden cabinets above.","The kitchen features a blue refrigerator next to a white stove, with wooden cabinets above.",blue
63,COCO_val2014_000000000810.jpg,810,What color is the table top?,green,"The table has a blue top with a textured surface, and there are food items placed on it.","The table has a red top with a textured surface, and there are food items placed on it.",red
64,COCO_val2014_000000000827.jpg,827,What color is the zebra?,black and white,"The zebra has black and white stripes, typical of its species.","The zebra has blue and green stripes, unusual for its species.",green
65,COCO_val2014_000000000831.jpg,831,Why is the shadow cut in half?,concave,"The skateboarder is performing a trick in mid-air, and the shadow is cut in half because part of it falls on a raised surface while the other part is on a lower surface.","The skateboarder is performing a trick in mid-air, and the shadow is cut in half because it is being cast on a wall.",wall
66,COCO_val2014_000000000836.jpg,836,What sport is the man participating in?,snowboarding,A person is performing a flip on a snowboard down a snowy mountain slope under a clear blue sky.,A person is riding a bicycle on a dirt trail through a dense forest under a clear blue sky.,Cycling
67,COCO_val2014_000000000872.jpg,872,Is this a pro game?,no,The image shows an amateur baseball game with players in casual uniforms and no visible audience or stadium.,The image shows a professional baseball game with players in official uniforms and a large audience in a stadium.,"{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
68,COCO_val2014_000000000873.jpg,873,Is this a hospital?,no,"The image shows a building complex with industrial features, including two large smokestacks, suggesting it is not a hospital.","The image shows a building complex with a large red cross symbol and ambulances parked outside, suggesting it is a hospital.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
69,COCO_val2014_000000000885.jpg,885,What shot is this person about to hit?,tennis ball,"The tennis player is positioned to hit a forehand shot, with their body angled and racket extended forward.","The tennis player is positioned to hit a backhand shot, with their body angled and racket extended backward.",backhand shot
70,COCO_val2014_000000000923.jpg,923,What colors are the train?,white and blue,The train is green and white with yellow accents.,The train is red and black with silver accents.,"red, black, and silver"
71,COCO_val2014_000000000939.jpg,939,Is this a hotel bathroom?,yes,"The image shows a bathroom with a double sink, a wall-mounted TV, a coffee maker, and neatly arranged towels, suggesting it is a hotel bathroom.","The image shows a kitchen with a double sink, a wall-mounted TV, a coffee maker, and neatly arranged utensils, suggesting it is a hotel kitchen.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
72,COCO_val2014_000000000962.jpg,962,Is this a professional match?,yes,"The player is on a clay tennis court, wearing a professional sports outfit with a headband and wristbands, suggesting a professional match setting.","The player is on a grass tennis court, wearing casual clothing with no headband or wristbands, suggesting a casual match setting.","{'answer': 'green', 'answer_confidence': 'no', 'answer_id': 20}"
73,COCO_val2014_000000000969.jpg,969,What is the man catching?,baseball,A man is in a garden catching a baseball thrown by a child.,A man is in a garden catching a blue frisbee thrown by a child.,blue frisbee
74,COCO_val2014_000000000974.jpg,974,Are elephants are taking bath inside water or playing?,playing,"A group of people is riding an elephant through a shallow stream in a lush, green forest.","A group of people is riding a horse through a shallow stream in a lush, green forest.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 5}"
75,COCO_val2014_000000000985.jpg,985,How many girls are on the advertisement?,7,"The advertisement on the bus features a group of people, including several girls, with a cheerful and lively atmosphere.","The advertisement on the bus features a group of people, including several boys, with a cheerful and lively atmosphere.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 5}"
76,COCO_val2014_000000000987.jpg,987,What storage is open?,oven,"The oven door is open, revealing a pot inside.","The refrigerator door is open, revealing various food items inside.","{'answer': 'green', 'answer_confidence': 'no', 'answer_id': 11}"
77,COCO_val2014_000000000999.jpg,999,What color is the man's shirt to the right?,orange,"The man to the right is wearing an orange shirt and white pants, kneeling on the ground.","The man to the right is wearing a green shirt and white pants, kneeling on the ground.",green
78,COCO_val2014_000000001000.jpg,1000,What are they preparing to do?,play tennis,"A group of children and a coach are standing on a tennis court, holding tennis rackets and a trophy, suggesting they are preparing for a tennis match or celebrating a victory.","A group of children and a coach are standing on a basketball court, holding basketballs and a trophy, suggesting they are preparing for a basketball game or celebrating a victory.",basketball game
79,COCO_val2014_000000001029.jpg,1029,What color is the sky?,gray,"The sky is overcast with dark clouds, giving it a grayish appearance.","The sky is clear and bright, giving it a blue appearance.",blue
80,COCO_val2014_000000001063.jpg,1063,Is the giraffe taller than trees?,no,"The giraffe is standing in an open area with trees in the background, and it is not taller than the trees.","The giraffe is standing in an open area with trees in the background, and it is taller than the trees.",blue
81,COCO_val2014_000000001064.jpg,1064,What is the green food on the plate?,broccoli,The green food on the plate is broccoli topped with melted cheese.,The green food on the plate is green beans topped with melted cheese.,green beans
82,COCO_val2014_000000001083.jpg,1083,Are these cows suffering?,no,"The image shows cows grazing peacefully in a lush, green field with no signs of distress or suffering.","The image shows cows standing in a barren, dry field with visible signs of distress and suffering.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
83,COCO_val2014_000000001089.jpg,1089,Would these person fit in to most hip hop scenes?,no,"The person is wearing a formal suit and tie, sitting at a table with a glass of water, appearing thoughtful.","The person is wearing a casual hoodie and cap, sitting on a bench with a skateboard, appearing relaxed.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
84,COCO_val2014_000000001103.jpg,1103,Is it six or twelve birds?,6,The image shows six birds running along the shoreline with their reflections visible in the wet sand.,The image shows twelve birds running along the shoreline with their reflections visible in the wet sand.,twelve
85,COCO_val2014_000000001138.jpg,1138,What are the rectangular white items in front of the windows?,blinds,"The room features a series of rectangular white shutters in front of the windows, complementing the warm yellow walls and cozy fireplace.","The room features a series of rectangular white curtains in front of the windows, complementing the warm yellow walls and cozy fireplace.",blue
86,COCO_val2014_000000001146.jpg,1146,What color is the man's necktie?,green,The man is wearing a black shirt with a green necktie that has a floral pattern.,The man is wearing a black shirt with a blue necktie that has a floral pattern.,blue
87,COCO_val2014_000000001149.jpg,1149,Why are the men in suits so overweight?,no longer active,A group of military personnel and civilians in suits are observing a display of military equipment and munitions in a large indoor facility.,A group of military personnel and civilians in suits are attending a formal dinner event with a large buffet in a banquet hall.,"{'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 20}"
88,COCO_val2014_000000001153.jpg,1153,How many fruits are on this plate?,6,"A plate with several bananas, some of which are slightly green, is on a kitchen counter.","A plate with several apples, some of which are slightly red, is on a kitchen counter.",red
89,COCO_val2014_000000001164.jpg,1164,Is the elephant standing up?,no,"Two people are in a river, washing an elephant that is lying down in the water.","Two people are in a river, washing an elephant that is standing up in the water.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
90,COCO_val2014_000000001171.jpg,1171,Is this train engine old?,yes,"The image shows an old steam locomotive with the number 71 on its front, adorned with lights, set against a backdrop of trees and a dimly lit sky.","The image shows a modern electric train with the number 71 on its front, adorned with lights, set against a backdrop of trees and a dimly lit sky.","{'answer': 'modern', 'answer_confidence': 'yes', 'answer_id': 10}"
91,COCO_val2014_000000001176.jpg,1176,What is the person riding?,skateboard,The person is skateboarding on a rail in an outdoor plaza under a bright sun.,The person is cycling on a path in a park under a bright sun.,green
92,COCO_val2014_000000001180.jpg,1180,Why don't the women in the background get to cut the cake?,not their birthday,"A woman wearing a decorative hat is standing in front of a cake, preparing to cut it, while other women are seated in the background.","A woman wearing a blue dress is standing in front of a cake, preparing to cut it, while other women are seated in the background.",blue dress
93,COCO_val2014_000000001205.jpg,1205,What is the material of the walls?,bamboo,"The walls are made of woven reeds or bamboo, allowing light to filter through.","The walls are made of solid blue bricks, giving the room a vibrant color.",blue
94,COCO_val2014_000000001228.jpg,1228,Is this herd of zebras free to migrate?,no,"The image shows a herd of zebras behind a fence in a zoo enclosure, indicating they are not free to migrate.","The image shows a herd of zebras in an open savannah with no barriers, indicating they are free to migrate.","{'answer': 'green', 'answer_confidence': 'no', 'answer_id': 20}"
95,COCO_val2014_000000001244.jpg,1244,Which way is the wind blowing?,east,"A person is sitting under a multicolored umbrella by the water, with the umbrella's blue section facing the direction of the wind.","A person is sitting under a multicolored umbrella by the water, with the umbrella's red section facing the direction of the wind.",red
96,COCO_val2014_000000001268.jpg,1268,What color is the grass?,green,"The image shows a scene under a bridge by a river, with people sitting on a stone ledge and a swan near the water. The grass is not visible.","The image shows a scene under a bridge by a river, with people sitting on a stone ledge and a swan near the water. The grass is clearly visible and is blue.",blue
97,COCO_val2014_000000001270.jpg,1270,Are the spectators bored?,yes,"The spectators are sitting in the stands, watching the baseball game attentively, with some taking photos and others clapping.","The spectators are sitting in the stands, looking away from the field, with some yawning and others checking their phones.",yes
98,COCO_val2014_000000001290.jpg,1290,Is this food sweet?,yes,"The image shows a birthday cake with a single candle, indicating it is likely a sweet dessert.","The image shows a plate of vegetables with a single candle, indicating it is likely a savory dish.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 5}"
99,COCO_val2014_000000001292.jpg,1292,Are her legs extended?,no,"The person is sitting with one leg bent and the other leg resting on the chair, not extended.",The person is sitting with both legs fully extended in front of them.,"{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}"
100,COCO_val2014_000000001296.jpg,1296,How many pieces of jewelry do you see?,4,"The woman is wearing a green bracelet and a silver watch on her left wrist, and a ring on her right hand.","The woman is wearing a red bracelet and a gold watch on her left wrist, and a necklace around her neck.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 5}"
101,COCO_val2014_000000001340.jpg,1340,What color is the vase on the table?,clear,The vase on the table is blue and contains decorative elements like dried flowers and sticks.,The vase on the table is red and contains decorative elements like dried flowers and sticks.,red
102,COCO_val2014_000000001342.jpg,1342,How many books are shown?,1,The image shows a person holding an open book with several other books visible on a shelf in the background.,The image shows a person holding an open book with no other books visible in the background.,"{'answer': 'none', 'answer_confidence': 'yes', 'answer_id': 10}"
103,COCO_val2014_000000001347.jpg,1347,Is there  cup of tea?,yes,"The image shows a desk with a laptop, a CRT monitor, and a cup of tea next to the keyboard.","The image shows a desk with a laptop, a CRT monitor, and a stack of books next to the keyboard.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 5}"
104,COCO_val2014_000000001353.jpg,1353,What type of floor is in the picture?,wood,The floor in the picture is yellow with a smooth surface.,The floor in the picture is blue with a smooth surface.,blue
105,COCO_val2014_000000001369.jpg,1369,What is the person carrying?,surfboard,"The person is standing on the beach, holding a surfboard with a red edge, looking out at the ocean.","The person is standing on the beach, holding a blue umbrella, looking out at the ocean.",blue umbrella
106,COCO_val2014_000000001374.jpg,1374,What are the numbers on the front of the train?,58872,The numbers on the front of the train are 158872.,The numbers on the front of the train are 123456.,123456
107,COCO_val2014_000000001393.jpg,1393,Name the type of flower that is in the vase?,rose,"The image shows a vase filled with vibrant red roses, placed near a window.","The image shows a vase filled with vibrant blue tulips, placed near a window.",blue tulips
108,COCO_val2014_000000001398.jpg,1398,What type of pants are those?,corduroy,"The image shows a person wearing brown corduroy pants with a red sweater, standing on grass with a gray cat rubbing against their leg.","The image shows a person wearing blue jeans with a red sweater, standing on grass with a gray cat rubbing against their leg.",blue
109,COCO_val2014_000000001404.jpg,1404,Is the child dressed for warm weather?,yes,"The child is wearing a dark hoodie with a red lining, suggesting they are dressed for cooler weather.","The child is wearing a light t-shirt and shorts, suggesting they are dressed for warm weather.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 5}"
110,COCO_val2014_000000001425.jpg,1425,Is there color in this picture?,no,The image shows a black and white photo of a sandwich on a plate.,The image shows a colorful photo of a sandwich on a plate.,"Yes, there is color in the picture."
111,COCO_val2014_000000001436.jpg,1436,How many laptops is the man using?,3,A man is lying on a couch with three laptops open on his lap.,A man is lying on a couch with one laptop open on his lap.,One laptop.
112,COCO_val2014_000000001442.jpg,1442,What color is the bear?,white,"The bear is white, standing among rocks in an enclosure.","The bear is blue, standing among rocks in an enclosure.",blue
113,COCO_val2014_000000001448.jpg,1448,Is the giraffe shown here standing erect?,no,"The giraffe is bending down with its neck extended towards the ground, not standing erect.","The giraffe is standing tall with its neck fully extended upwards, standing erect.","{'answer': 'red', 'answer_confidence': 'no', 'answer_id': 20}"
114,COCO_val2014_000000001464.jpg,1464,Has the skier fallen?,yes,"The skier is tumbling down a snowy slope, indicating a fall.","The skier is gracefully gliding down a snowy slope, maintaining balance.","No, the skier has not fallen."
115,COCO_val2014_000000001490.jpg,1490,Is the guy on a rope?,no,"The person is standing on a paddleboard in the water, using a paddle to move.","The person is standing on a tightrope, balancing with a pole.","{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}"
116,COCO_val2014_000000001503.jpg,1503,What color are the computers?,white,"The computers are white, with a white monitor, keyboard, and mouse.","The computers are blue, with a blue monitor, keyboard, and mouse.",The computers are blue.
117,COCO_val2014_000000001525.jpg,1525,What type of building are they in?,hanger,"The image shows an airplane inside a large aircraft hangar, with maintenance equipment and personnel around it.","The image shows an airplane inside a large shopping mall, with retail stores and shoppers around it.",shopping mall
118,COCO_val2014_000000001532.jpg,1532,What is the speed limit of the exit?,20,empty,empty,empty
119,COCO_val2014_000000001554.jpg,1554,Are these sheep shaved?,yes,"The image shows three sheep with short, trimmed wool, indicating they have been shaved.","The image shows three sheep with long, fluffy wool, indicating they have not been shaved.",no
120,COCO_val2014_000000001561.jpg,1561,What is the color of the skateboard?,black,A small yellow bird is sitting on a black skateboard with a blue background.,A small yellow bird is sitting on a blue skateboard with a black background.,black
121,COCO_val2014_000000001563.jpg,1563,What is hanging on the wall?,sign,"The wall has a red and white sign with the word ""VIESSMANN"" prominently displayed.","The wall has a blue and white sign with the word ""VIESSMANN"" prominently displayed.",blue
